Strain	Flagellin
Thioalkalivibrio_versutus_D301	1
Thiocystis_violascens_DSM_198	1
Thioflavicoccus_mobilis_8321	1
Thiohalobacter_thiocyanaticus_FOKN1	1
Thiolapillus_brandeum_Hiromi_1	1
Thiomicrorhabdus_aquaedulcis_HaS4	1
Thiomicrorhabdus_indica_13-15A	1
Thiomicrospira_aerophila_AL3	1
Thiomicrospira_cyclica_ALM1	0
Thioploca_ingrica_NoStrain4	0
Tolumonas_auensis_DSM_9187	0
Vibrio_alfacsensis_CAIM_1831	1
Vibrio_alginolyticus_ATCC_17749	1
Vibrio_anguillarum_775	1
Vibrio_antiquarius_EX25	1
Vibrio_aphrogenes_CA-1004	0
Vibrio_astriarenae_HN897	1
Vibrio_breoganii_FF50	1
Vibrio_campbellii_ATCC_BAA-1116_BB120	1
Vibrio_casei_DSM_22364	1
Vibrio_chagasii_ECSMB14107	1
Vibrio_cholerae_10432-62	1
Vibrio_cidicii_2756-81	1
Vibrio_cincinnatiensis_2070-81	1
Vibrio_coralliilyticus_RE98	1
Vibrio_cyclitrophicus_ECSMB14105	1
Vibrio_diabolicus_FDAARGOS_105	1
Vibrio_fluvialis_FDAARGOS_104	1
Vibrio_furnissii_FDAARGOS_777	1
Vibrio_gazogenes_ATCC_43942	1
Vibrio_harveyi_FDAARGOS_107	1
Vibrio_hyugaensis_090810a	1
Vibrio_jasicida_090810c	1
Vibrio_metoecus_2011V-1015	1
Vibrio_mimicus_FDAARGOS_112	1
Vibrio_natriegens_CCUG_16371	1
Vibrio_nigripulchritudo_SFn1	1
Vibrio_owensii_XSBZ03	1
Vibrio_parahaemolyticus_FDAARGOS_115	1
Vibrio_ponticus_DSM_16217	1
Vibrio_qinghaiensis_Q67	1
Vibrio_rotiferianus_B64D1	1
Vibrio_rumoiensis_FERM_P-14531	0
Vibrio_scophthalmi_VS-12	1
Vibrio_splendidus_BST398	1
Vibrio_taketomensis_C4III282	1
Vibrio_tapetis_Vibrio_tapetis_CECT4600	1
Vibrio_tritonius_JCM_16456	1
Vibrio_tubiashii_ATCC_19109	1
Vibrio_vulnificus_CECT_4999	1
Wenzhouxiangella_marina_KCTC_42284	0
Wigglesworthia_glossinidia_NoStrain1	1
Woeseia_oceani_XK5	1
Xanthomonas_albilineans_GPE_PC73	1
Xanthomonas_arboricola_17	1
Xanthomonas_axonopodis_Xac29-1	1
Xanthomonas_campestris_ATCC_33913	1
Xanthomonas_campestris_Oct-85	1
Xanthomonas_cassavae_CFBP_4642	1
Xanthomonas_citri_Aw12879	1
Xanthomonas_cucurbitae_ATCC_23378	1
Xanthomonas_fragariae_Fap21	1
Xanthomonas_gardneri_ICMP_7383	1
Xanthomonas_hortorum_B07-007	1
Xanthomonas_hyacinthi_CFBP_1156	1
Xanthomonas_oryzae_PXO99A	1
Xanthomonas_perforans_LH3	1
Xanthomonas_phaseoli_CFBP6164	1
Xanthomonas_translucens_Xtu_4699	1
Xanthomonas_vasicola_NCPPB_1060	1
Xanthomonas_vesicatoria_LMG911	1
Xenorhabdus_bovienii_SS-2004	1
Xenorhabdus_doucetiae_FRM16	1
Xenorhabdus_hominickii_ANU1	1
Xenorhabdus_nematophila_AN6_1	1
Xenorhabdus_poinarii_G6	1
Xylella_fastidiosa_9a5c	0
Xylella_taiwanensis_PLS235	0
Yersinia_aldovae_670-83	1
Yersinia_aleksiciae_159	1
Yersinia_canariae_NCTC_14382	1
Yersinia_enterocolitica_Y11	1
Yersinia_entomophaga_MH96	1
Yersinia_frederiksenii_Y225	1
Yersinia_hibernica_CFS1934	1
Yersinia_intermedia_NCTC11469	1
Yersinia_kristensenii_Y231	1
Yersinia_massiliensis_GTA	1
Yersinia_pestis_FDAARGOS_601	1
Yersinia_pseudotuberculosis_NCTC10275	1
Yersinia_rohdei_YRA	1
Yersinia_ruckeri_QMA0440	1
Yersinia_similis_228	1
Zhongshania_aliphaticivorans_SM-2	1
Zymobacter_palmae_IAM14233	1

