Strain	Flagellin
Burkholderia_cepacia_UCB_717	1
Burkholderia_contaminans_MS14	1
Burkholderia_diffusa_RF2-non-BP9	1
Burkholderia_dolosa_AU0158	1
Burkholderia_gladioli_ATCC_10248	1
Burkholderia_glumae_ATCC_33617	1
Burkholderia_humptydooensis_MSMB122	1
Burkholderia_insecticola_RPE64	1
Burkholderia_lata_383	1
Burkholderia_latens_AU17928	1
Burkholderia_mallei_ATCC_23344	1
Burkholderia_metallica_FL-6-5-30-S1-D7	1
Burkholderia_multivorans_ATCC_BAA-247	1
Burkholderia_oklahomensis_C6786	1
Burkholderia_plantarii_ATCC_43733	1
Burkholderia_pseudomallei_MSHR2543	1
Burkholderia_pseudomultivorans_SUB-INT23-BP2	1
Burkholderia_pyrrocinia_DSM_10685	1
Burkholderia_seminalis_FL-5-4-10-S1-D7	1
Burkholderia_stabilis_ATCC_BAA-67	1
Burkholderia_stagnalis_MSMB735WGS	1
Burkholderia_territorii_RF8-non-BP5	1
Burkholderia_thailandensis_E264_ATCC_700388	1
Burkholderia_ubonensis_MSMB22	1
Burkholderia_vietnamiensis_LMG_10929	1
Casimicrobium_huifangae_SJ-1	0
Castellaniella_defragrans_65Phen	1
Chitinolyticbacter_meiyuanensis_SYBC-H1	1
Chromobacterium_vaccinii_21-Jan	1
Chromobacterium_violaceum_ATCC_12472	1
Collimonas_arenae_Ter10	0
Collimonas_fungivorans_Ter6	1
Collimonas_pratensis_Ter91	0
Comamonas_aquatica_CJG	1
Comamonas_kerstersii_8943	1
Comamonas_serinivorans_DSM_26136	0
Comamonas_testosteroni_TK102	1
Comamonas_thiooxydans_CNB-1_substr._CNB-2	1
Crenobacter_cavernae_K1W11S-77	1
Cupriavidus_basilensis_4G11	1
Cupriavidus_campinensis_MJ1	1
Cupriavidus_gilardii_CR3	1
Cupriavidus_malaysiensis_USMAA1020	1
Cupriavidus_metallidurans_CH34	1
Cupriavidus_nantongensis_X1	1
Cupriavidus_necator_N-1	1
Cupriavidus_oxalaticus_T2	1
Cupriavidus_pinatubonensis_JMP134	1
Cupriavidus_taiwanensis_LMG_19424	1
Dechloromonas_aromatica_RCB	1
Delftia_acidovorans_SPH-1	1
Delftia_tsuruhatensis_CM13	1
Diaphorobacter_polyhydroxybutyrativorans_SL-205	1
Eikenella_exigua_PXX	0
Ephemeroptericola_cinctiostellae_F02	0
Ferriphaselus_amnicola_OYT1	1
Gallionella_capsiferriformans_ES-2	1
Herbaspirillum_hiltneri_N3	1
Herbaspirillum_huttiense_NFYY_53159	1
Herbaspirillum_robiniae_AA6	1
Herbaspirillum_rubrisubalbicans_DSM_11543	1
Herbaspirillum_seropedicae_Z67	1
Herminiimonas_arsenicoxydans_NoStrain1	1
Herminiimonas_arsenitoxidans_AS8	1
Hydrogenophaga_crassostreae_LPB0072	1
Hydrogenophaga_pseudoflava_DSM_1084	1
Inhella_inkyongensis_IMCC1713	1
Janthinobacterium_agaricidamnosum_DSM_9628	1
Janthinobacterium_svalbardensis_PAMC_27463	1
Kerstersia_gyiorum_SWMUKG01	1
Laribacter_hongkongensis_HLHK9	1
Lautropia_mirabilis_NCTC12852	1
Leptothrix_cholodnii_SP-6	1
Massilia_albidiflava_DSM_17472	1
Massilia_armeniaca_ZMN-3	1
Massilia_flava_DSM_26639	1
Massilia_lutea_DSM_17473	1
Massilia_oculi_CCUG_43427	1
Massilia_plicata_DSM_17505	1
Massilia_putida_6NM-7	1
Massilia_umbonata_DSMZ_26121	1
Massilia_violaceinigra_B2	1
Methylibium_petroleiphilum_PM1	1
Methylobacillus_flagellatus_KT	1
Methylophilus_medardicus_MMS-M-51	1
Methylotenera_mobilis_JLW8	1
Methylotenera_versatilis_301	1
Methylovorus_glucosetrophus_SIP3-4	1
Mycoavidus_cysteinexigens_B1-EB	0
Neisseria_animalis_NCTC10212	0
Neisseria_animaloris_NCTC12228	0
Neisseria_brasiliensis_N.177.16	0
Neisseria_canis_NCTC10296	0
Neisseria_chenwenguii_10023	0
Neisseria_cinerea_NCTC10294	0
Neisseria_elongata_ATCC_29315	0
Neisseria_flavescens_ATCC_13120	0
Neisseria_gonorrhoeae_WHO_F	0
Neisseria_lactamica_020-06	0
Neisseria_meningitidis_NCTC10025	0
Neisseria_polysaccharea_M18661	0
Neisseria_subflava_ATCC_49275	0
Neisseria_weaveri_NCTC12742	0
Neisseria_zalophi_ATCC_BAA-2455	0
Neisseria_zoodegmatis_NCTC12230	0
Nitrosomonas_communis_Nm2	0
Nitrosomonas_europaea_ATCC_19718	1
Nitrosomonas_eutropha_C91	1
Nitrosomonas_ureae_Nm10	1
Nitrosospira_briensis_C-128	1
Nitrosospira_lacus_APG3	1
Nitrosospira_multiformis_ATCC_25196	1
Orrella_dioscoreae_Orrdi1	1
Oryzomicrobium_terrae_TPP412	1
Ottowia_oryzae_KADR8-3	0
Oxalobacter_formigenes_HC-1	0
Paenalcaligenes_hominis_15S00501	1
Pandoraea_apista_DSM_16535	1
Pandoraea_faecigallinarum_DSM_23572	1
Pandoraea_fibrosis_6399	1
Pandoraea_norimbergensis_DSM_11628	1
Pandoraea_oxalativorans_DSM_23570	1
Pandoraea_pnomenusa_DSM_16536	1
Pandoraea_pulmonicola_DSM_16583	1
Pandoraea_sputorum_DSM_21091	1
Pandoraea_thiooxydans_ATSB16	1
Pandoraea_vervacti_NS15	1
Paraburkholderia_aromaticivorans_BN5	1
Paraburkholderia_caffeinilytica_CF1	1
Paraburkholderia_caledonica_PHRS4	1
Paraburkholderia_caribensis_MWAP64	1
Paraburkholderia_dokdonella_DCR13	0
Paraburkholderia_fungorum_ATCC_BAA-463	1
Paraburkholderia_graminis_PHS1	1
Paraburkholderia_hospita_DSM_17164	1
Paraburkholderia_megapolitana_LMG_23650	1
Paraburkholderia_phenoliruptrix_BR3459a	1
Paraburkholderia_phymatum_STM815	1
Paraburkholderia_phytofirmans_PsJN	1
Paraburkholderia_rhizoxinica_HKI_454	0
Paraburkholderia_sprentiae_WSM5005	1
Paraburkholderia_terrae_DSM_17804	1
Paraburkholderia_terricola_mHS1	1
Paraburkholderia_xenovorans_LB400	1
Pigmentiphaga_aceris_Mada1488	1
Polaromonas_naphthalenivorans_CJ2	0
Polyangium_brachysporum_DSM_7029	1
Polynucleobacter_acidiphobus_MWH-PoolGreenA3	0
Polynucleobacter_asymbioticus_QLW-P1DMWA-1	0
Polynucleobacter_difficilis_AM-8B5	1
Polynucleobacter_duraquae_MWH-MoK4	1
Polynucleobacter_necessarius_STIR1	0
Polynucleobacter_paneuropaeus_MWH-Creno-4B4	0
Polynucleobacter_wuianus_QLW-P1FAT50C-4	0
Pseudomonas_mesoacidophila_ATCC_31433	1
Pulveribacter_suum_SC2-7	1
Ralstonia_insidiosa_FC1138	1
Ralstonia_mannitolilytica_SN82F48	1
Ralstonia_pickettii_12J	1
Ralstonia_solanacearum_GMI1000	1
Ramlibacter_tataouinensis_TTB310	0
Rhizobacter_gummiphilus_NS21	1
Rhodoferax_antarcticus_DSM_24876	1
Rhodoferax_ferrireducens_DSM_15236	1
Rhodoferax_koreense_DCY-110	1
Rhodoferax_saidenbachensis_DSM_22694	1
Roseateles_depolymerans_KCTC_42856	1
Rubrivivax_gelatinosus_IL144	1
Serpentinomonas_mccroryi_B1	1
Serpentinomonas_raichei_A1	1
Sideroxydans_lithotrophicus_ES-1	1
Simonsiella_muelleri_ATCC_29453	0
Simplicispira_suum_SC1-8	1
Snodgrassella_alvi_wkB2	0
Sphaerotilus_natans_D-507	1
Sulfuricella_denitrificans_skB26	1
Sulfuriferula_plumbiphila_Gro7	1
Sulfuritalea_hydrogenivorans_DSM_22779	1
Sulfuritortus_calidifontis_J1A	1
Sutterella_faecalis_KGMB03119	0
Sutterella_megalosphaeroides_6FBBBH3	0
Taylorella_asinigenitalis_MCE3	0
Taylorella_equigenitalis_ATCC_35865	0
Thauera_aromatica_K172	1
Thauera_chlorobenzoica_3CB1	1
Thauera_humireducens_SgZ-1	1
Thauera_hydrothermalis_GD-2	1
Thiobacillus_denitrificans_ATCC_25259	1
Thiomonas_arsenitoxydans_3As	1
Thiomonas_intermedia_ATCC_15466	1
Undibacterium_parvum_DSM_23061	1
Variovorax_boronicumulans_J1	1
Variovorax_paradoxus_S110	1
Verminephrobacter_eiseniae_EF01-2	1
Vitreoscilla_filiformis_ATCC_15551	0
Anaeromyxobacter_dehalogenans_2CP-1	1
Archangium_gephyra_DSM_2261	0
Arcobacter_anaerophilus_DSM_24636	1
Arcobacter_butzleri_RM4018	1
Arcobacter_canalis_LMG_29148	1
Arcobacter_cibarius_H743	1
Arcobacter_ellisii_LMG_26155	1
Arcobacter_halophilus_CCUG_53805	1
Arcobacter_marinus_JCM_15502	1
Arcobacter_molluscorum_CECT_7696	1
Arcobacter_mytili_LMG_24559	1
Arcobacter_nitrofigilis_DSM_7299	1
Arcobacter_pacificus_LMG_26638	1
Arcobacter_peruensis_PSE-93	1
Arcobacter_porcinus_CCUG_56899	1
Arcobacter_suis_CECT_7833	1
Arcobacter_trophiarum_LMG_25534	1
Bradymonas_sediminis_FA350	0
Campylobacter_armoricus_CA639	1
Campylobacter_avium_LMG_24591	1
Campylobacter_coli_CFSAN054106	1
Campylobacter_concisus_ATCC_33237	1
Campylobacter_cuniculorum_LMG_24588	1
Campylobacter_curvus_525.92	1
Campylobacter_fetus_NCTC_10354	1
Campylobacter_gracilis_ATCC_33236	0
Campylobacter_helveticus_ATCC_51209	1
Campylobacter_hepaticus_HV10	1
Campylobacter_hominis_ATCC_BAA-381	0
Campylobacter_hyointestinalis_LMG_9260	1
Campylobacter_iguaniorum_1485E	1
Campylobacter_insulaenigrae_NCTC_12927	1
Campylobacter_jejuni_NCTC11951	1
Campylobacter_lanienae_NCTC_13004	1
Campylobacter_lari_RM2100_ATCC_BAA-1060D	1
Campylobacter_peloridis_LMG_23910	1
Campylobacter_pinnipediorum_RM17260	1
Campylobacter_sputorum_LMG_7795	1
Campylobacter_subantarcticus_LMG_24377	1
Campylobacter_ureolyticus_RIGS_9880	0
Campylobacter_volucris_LMG_24380	1
Chondromyces_crocatus_Cm_c5	0
Corallococcus_coralloides_DSM_2259	0
Cystobacter_fuscus_DSM_52655	0
Desulfarculus_baarsii_DSM_2075	1
Desulfatibacillum_aliphaticivorans_AK-01	1
Desulfobacca_acetoxidans_DSM_11109	0
Desulfobacterium_autotrophicum_HRM2	1
Desulfobacter_postgatei_2ac9	1
Desulfobacula_toluolica_Tol2	1
Desulfobulbus_oralis_HOT041_ORNL	0
Desulfocapsa_sulfexigens_DSM_10523	1
Desulfococcus_multivorans_DSM_2059	0
Desulfococcus_oleovorans_Hxd3	0
Desulfocurvibacter_africanus_Walvis_Bay	1
Desulfoglaeba_alkanexedens_ALDC	1
Desulfohalobium_retbaense_DSM_5692	1
